rssd9001,quarter_end,n_loans,total_amount,mean_spread
197478,2015-12-31,6,122.5195,378.7500
197478,2016-03-31,4,71.8842,222.5000
197478,2016-06-30,2,40.0080,382.1429
197478,2016-09-30,5,54.0030,326.8421
197478,2016-12-31,8,112.1166,305.5000
197478,2017-03-31,1,16.5000,314.5833
197478,2017-06-30,2,20.5400,405.5556
197478,2017-09-30,0,0.0000,322.5000
197478,2017-12-31,0,0.0000,318.2500
197478,2018-03-31,2,24.9900,273.1250
197478,2018-06-30,3,51.8840,328.6000
197478,2018-09-30,6,71.5085,285.4433
197478,2018-12-31,4,50.8075,348.5000
197478,2019-03-31,2,26.6125,321.2632
197478,2019-06-30,0,0.0000,290.2000
197478,2019-09-30,2,25.5026,313.7500
197478,2019-12-31,1,17.2260,273.4000
197478,2020-03-31,1,15.0000,342.1429
197478,2020-06-30,0,0.0000,362.5000
197478,2020-09-30,1,21.9912,259.3750
197478,2020-12-31,0,0.0000,297.2222
197478,2021-03-31,2,23.0028,365.7143
197478,2021-06-30,3,55.4402,228.1250
197478,2021-09-30,5,60.0046,306.4706
197478,2021-12-31,1,9.6128,345.2941
197478,2022-03-31,2,17.8378,322.7059
197478,2022-06-30,1,9.9900,318.8710
197478,2022-09-30,0,0.0000,353.4848
197478,2022-12-31,0,0.0000,318.8333
197478,2023-03-31,3,35.5477,328.5000
197478,2023-06-30,0,0.0000,372.4074
197478,2023-09-30,3,25.8937,363.8816
197478,2023-12-31,0,0.0000,337.6923
197478,2024-03-31,0,0.0000,340.3571
197478,2024-06-30,3,31.0764,309.5714
197478,2024-09-30,6,80.4820,282.9972
197478,2024-12-31,10,63.0126,318.1250
197478,2025-03-31,5,149.1742,265.9567
197478,2025-06-30,5,70.0734,313.1250
197478,2025-09-30,3,30.0050,246.0000
197478,2025-12-31,8,159.4976,242.4608
208244,2010-03-31,2,19.9991,312.5000
208244,2010-06-30,1,10.0000,
208244,2010-09-30,2,15.0000,175.0000
208244,2011-06-30,1,4.9993,
208244,2011-09-30,1,10.0000,100.0000
208244,2012-06-30,3,19.0105,275.0000
208244,2012-09-30,0,0.0000,175.0000
208244,2012-12-31,2,24.9980,175.0000
208244,2013-12-31,2,15.0000,145.8333
208244,2014-09-30,0,0.0000,350.0000
208244,2014-12-31,0,0.0000,140.6250
208244,2015-06-30,1,25.0000,156.2500
208244,2015-09-30,0,0.0000,162.5000
208244,2015-12-31,0,0.0000,175.0000
208244,2016-06-30,0,0.0000,
208244,2016-09-30,0,0.0000,225.0000
208244,2017-06-30,0,0.0000,143.7500
208244,2017-09-30,0,0.0000,100.0000
208244,2017-12-31,0,0.0000,
208244,2018-03-31,0,0.0000,200.0000
208244,2018-06-30,0,0.0000,278.1250
208244,2018-09-30,0,0.0000,175.0000
208244,2018-12-31,0,0.0000,175.0000
208244,2019-03-31,0,0.0000,75.0000
208244,2019-06-30,0,0.0000,160.8333
208244,2019-09-30,0,0.0000,216.6667
208244,2019-12-31,0,0.0000,150.0000
208244,2020-06-30,0,0.0000,237.5000
208244,2020-09-30,0,0.0000,150.0000
208244,2020-12-31,0,0.0000,150.0000
208244,2021-03-31,0,0.0000,80.0000
208244,2021-06-30,0,0.0000,300.0000
208244,2021-09-30,0,0.0000,347.5000
208244,2021-12-31,0,0.0000,398.7500
208244,2022-03-31,0,0.0000,160.0000
208244,2022-06-30,0,0.0000,230.0000
208244,2022-09-30,0,0.0000,197.2857
208244,2022-12-31,2,47.7472,278.2500
208244,2023-03-31,0,0.0000,321.3636
208244,2023-06-30,0,0.0000,240.8333
208244,2023-09-30,0,0.0000,332.9167
208244,2023-12-31,0,0.0000,462.2000
208244,2024-03-31,0,0.0000,330.5000
208244,2024-06-30,0,0.0000,279.2308
208244,2024-09-30,4,74.0056,265.2941
208244,2024-12-31,16,262.2969,261.7647
208244,2025-03-31,8,149.5373,243.5544
208244,2025-06-30,11,202.4347,215.4167
208244,2025-09-30,5,129.2900,204.5455
208244,2025-12-31,6,185.9981,255.0529
229801,2010-06-30,0,0.0000,
229801,2012-03-31,0,0.0000,275.0000
229801,2012-12-31,0,0.0000,275.0000
229801,2013-03-31,0,0.0000,350.0000
229801,2013-09-30,0,0.0000,275.0000
229801,2013-12-31,0,0.0000,100.0000
229801,2014-03-31,0,0.0000,362.5000
229801,2014-09-30,0,0.0000,325.0000
229801,2014-12-31,2,20.0019,233.7500
229801,2015-03-31,0,0.0000,
229801,2015-06-30,0,0.0000,225.0000
229801,2015-12-31,1,9.0003,362.5000
229801,2016-09-30,0,0.0000,283.3333
229801,2016-12-31,0,0.0000,375.0000
229801,2017-06-30,0,0.0000,175.0000
229801,2017-09-30,0,0.0000,250.0000
229801,2017-12-31,0,0.0000,225.0000
229801,2018-03-31,0,0.0000,325.0000
229801,2018-06-30,0,0.0000,212.5000
229801,2018-09-30,0,0.0000,
229801,2018-12-31,0,0.0000,
229801,2019-03-31,0,0.0000,287.5000
229801,2019-06-30,0,0.0000,145.0000
229801,2019-09-30,0,0.0000,178.3333
229801,2019-12-31,0,0.0000,171.6667
229801,2020-06-30,0,0.0000,
229801,2020-12-31,0,0.0000,300.0000
229801,2021-03-31,0,0.0000,200.0000
229801,2021-06-30,0,0.0000,181.6667
229801,2021-09-30,0,0.0000,148.3333
229801,2021-12-31,0,0.0000,131.6667
229801,2022-03-31,0,0.0000,
229801,2022-06-30,0,0.0000,171.0000
229801,2022-09-30,0,0.0000,301.0000
229801,2022-12-31,0,0.0000,162.5000
229801,2023-03-31,1,49.9110,165.0000
229801,2023-06-30,0,0.0000,175.0000
229801,2023-09-30,0,0.0000,110.0000
229801,2023-12-31,0,0.0000,300.0000
229801,2024-03-31,0,0.0000,125.0000
229801,2024-06-30,0,0.0000,292.2222
229801,2024-09-30,6,145.0279,226.4286
229801,2024-12-31,2,26.6650,226.0000
229801,2025-03-31,9,267.5184,249.0385
229801,2025-06-30,9,424.1757,271.7500
229801,2025-09-30,11,303.9412,309.0278
229801,2025-12-31,7,339.8745,283.5714
